uid1;uid2;time
69.0;152.0;1262591812.0
90.0;152.0;1262591896.0
97.0;105.0;1262592085.0
133.0;90.0;1262592247.0
137.0;73.0;1262592390.0
137.0;65.0;1262592390.0
137.0;19.0;1262592390.0
137.0;136.0;1262592390.0
137.0;112.0;1262592390.0
137.0;65.0;1262592461.0
137.0;136.0;1262592461.0
137.0;112.0;1262592461.0
137.0;19.0;1262592461.0
137.0;73.0;1262592461.0
137.0;136.0;1262592483.0
137.0;112.0;1262592483.0
137.0;19.0;1262592483.0
137.0;65.0;1262592483.0
137.0;73.0;1262592483.0
19.0;137.0;1262592517.0
19.0;137.0;1262592519.0
137.0;136.0;1262592533.0
137.0;112.0;1262592533.0
137.0;19.0;1262592533.0
137.0;65.0;1262592533.0
137.0;73.0;1262592533.0
136.0;137.0;1262592576.0
73.0;137.0;1262592577.0
136.0;137.0;1262592577.0
73.0;137.0;1262592578.0
137.0;136.0;1262592581.0
137.0;112.0;1262592581.0
137.0;19.0;1262592581.0
137.0;65.0;1262592581.0
137.0;73.0;1262592581.0
19.0;137.0;1262592606.0
73.0;137.0;1262592638.0
136.0;137.0;1262592664.0
73.0;137.0;1262592698.0
136.0;137.0;1262592745.0
62.0;146.0;1262592750.0
30.0;135.0;1262592963.0
136.0;137.0;1262593254.0
32.0;97.0;1262593291.0
32.0;97.0;1262593324.0
14.0;129.0;1262593332.0
153.0;152.0;1262593536.0
167.0;94.0;1262593743.0
152.0;153.0;1262593803.0
113.0;121.0;1262593897.0
135.0;90.0;1262593920.0
90.0;135.0;1262593978.0
65.0;137.0;1262594030.0
65.0;137.0;1262594032.0
65.0;137.0;1262594034.0
136.0;3.0;1262594087.0
136.0;166.0;1262594087.0
136.0;152.0;1262594087.0
166.0;132.0;1262594161.0
112.0;137.0;1262594305.0
112.0;137.0;1262594307.0
112.0;137.0;1262594309.0
36.0;152.0;1262594343.0
132.0;166.0;1262594365.0
152.0;136.0;1262594509.0
121.0;130.0;1262594521.0
73.0;137.0;1262594524.0
130.0;121.0;1262594573.0
19.0;137.0;1262594819.0
58.0;60.0;1262594839.0
117.0;57.0;1262594961.0
133.0;73.0;1262595050.0
133.0;19.0;1262595050.0
110.0;129.0;1262595272.0
19.0;133.0;1262595278.0
11.0;153.0;1262595325.0
36.0;14.0;1262595683.0
73.0;133.0;1262595820.0
17.0;110.0;1262596231.0
36.0;14.0;1262596294.0
110.0;17.0;1262596310.0
158.0;119.0;1262596467.0
110.0;17.0;1262596476.0
8.0;155.0;1262596531.0
8.0;47.0;1262596566.0
8.0;47.0;1262596651.0
65.0;137.0;1262596657.0
36.0;155.0;1262596760.0
8.0;47.0;1262596910.0
65.0;127.0;1262597008.0
127.0;65.0;1262597415.0
47.0;137.0;1262597607.0
150.0;60.0;1262597928.0
77.0;137.0;1262598186.0
77.0;123.0;1262598186.0
77.0;136.0;1262598186.0
77.0;19.0;1262598186.0
17.0;110.0;1262598413.0
128.0;8.0;1262598755.0
123.0;77.0;1262598844.0
14.0;17.0;1262598938.0
17.0;14.0;1262598974.0
27.0;86.0;1262599224.0
136.0;77.0;1262599757.0
110.0;129.0;1262601237.0
129.0;110.0;1262601408.0
33.0;45.0;1262601427.0
153.0;152.0;1262601708.0
35.0;83.0;1262602059.0
19.0;77.0;1262602101.0
135.0;151.0;1262602105.0
135.0;97.0;1262602105.0
153.0;152.0;1262602514.0
153.0;11.0;1262602554.0
60.0;155.0;1262602572.0
60.0;102.0;1262602572.0
60.0;36.0;1262602572.0
60.0;67.0;1262602572.0
60.0;128.0;1262602572.0
60.0;13.0;1262602572.0
60.0;83.0;1262602572.0
67.0;60.0;1262602600.0
102.0;60.0;1262602642.0
86.0;27.0;1262602651.0
41.0;150.0;1262602755.0
41.0;162.0;1262602755.0
36.0;60.0;1262602958.0
128.0;60.0;1262602959.0
153.0;11.0;1262603022.0
60.0;67.0;1262603025.0
60.0;13.0;1262603025.0
60.0;83.0;1262603025.0
60.0;128.0;1262603025.0
128.0;60.0;1262603045.0
150.0;41.0;1262603047.0
67.0;60.0;1262603108.0
11.0;153.0;1262603236.0
153.0;11.0;1262603242.0
163.0;129.0;1262603763.0
163.0;90.0;1262603881.0
163.0;129.0;1262603881.0
163.0;18.0;1262603881.0
153.0;77.0;1262603885.0
153.0;136.0;1262603885.0
153.0;69.0;1262603885.0
153.0;143.0;1262603885.0
153.0;130.0;1262603885.0
153.0;33.0;1262603885.0
152.0;153.0;1262604049.0
73.0;112.0;1262604422.0
73.0;137.0;1262604422.0
152.0;121.0;1262604447.0
121.0;152.0;1262604546.0
130.0;91.0;1262604896.0
126.0;78.0;1262604900.0
130.0;91.0;1262604942.0
137.0;36.0;1262604947.0
137.0;136.0;1262604947.0
137.0;118.0;1262604947.0
137.0;121.0;1262604947.0
137.0;113.0;1262604947.0
137.0;33.0;1262604947.0
137.0;104.0;1262604947.0
137.0;148.0;1262604947.0
137.0;163.0;1262604947.0
137.0;85.0;1262604947.0
137.0;143.0;1262604947.0
137.0;112.0;1262604947.0
137.0;130.0;1262604947.0
137.0;27.0;1262604947.0
118.0;137.0;1262605040.0
81.0;103.0;1262605066.0
103.0;81.0;1262605079.0
153.0;152.0;1262605282.0
121.0;137.0;1262605328.0
17.0;14.0;1262605329.0
45.0;82.0;1262605341.0
136.0;137.0;1262605394.0
121.0;137.0;1262605483.0
148.0;137.0;1262605638.0
162.0;41.0;1262606012.0
36.0;137.0;1262606018.0
113.0;137.0;1262606042.0
105.0;97.0;1262606688.0
117.0;47.0;1262606727.0
14.0;17.0;1262606824.0
97.0;105.0;1262606852.0
81.0;104.0;1262606892.0
81.0;148.0;1262606892.0
81.0;86.0;1262606892.0
81.0;130.0;1262606892.0
81.0;161.0;1262606892.0
81.0;97.0;1262606892.0
81.0;39.0;1262606892.0
81.0;69.0;1262606892.0
81.0;17.0;1262606892.0
14.0;148.0;1262606900.0
14.0;160.0;1262606900.0
14.0;11.0;1262606900.0
14.0;80.0;1262606900.0
14.0;163.0;1262606900.0
97.0;81.0;1262606933.0
17.0;81.0;1262606945.0
128.0;56.0;1262606965.0
80.0;14.0;1262606965.0
11.0;14.0;1262607033.0
161.0;17.0;1262607309.0
17.0;161.0;1262607362.0
148.0;14.0;1262607676.0
148.0;81.0;1262607764.0
13.0;60.0;1262607928.0
13.0;60.0;1262608028.0
39.0;81.0;1262608262.0
163.0;137.0;1262608438.0
163.0;14.0;1262608475.0
65.0;129.0;1262608716.0
85.0;98.0;1262609145.0
155.0;60.0;1262609499.0
62.0;80.0;1262609577.0
47.0;117.0;1262609777.0
47.0;57.0;1262609969.0
13.0;90.0;1262610158.0
13.0;127.0;1262610158.0
13.0;74.0;1262610158.0
13.0;41.0;1262610158.0
90.0;135.0;1262610981.0
135.0;90.0;1262611054.0
33.0;45.0;1262611150.0
33.0;137.0;1262611176.0
13.0;127.0;1262611440.0
13.0;74.0;1262611440.0
13.0;41.0;1262611440.0
13.0;90.0;1262611440.0
135.0;30.0;1262611518.0
135.0;30.0;1262611744.0
86.0;69.0;1262612050.0
86.0;81.0;1262612056.0
65.0;56.0;1262612170.0
65.0;64.0;1262612170.0
65.0;108.0;1262612170.0
65.0;57.0;1262612170.0
119.0;126.0;1262612197.0
119.0;126.0;1262612258.0
119.0;126.0;1262612310.0
119.0;158.0;1262612333.0
135.0;30.0;1262612500.0
135.0;138.0;1262612500.0
55.0;54.0;1262612516.0
112.0;137.0;1262612566.0
126.0;57.0;1262612956.0
103.0;81.0;1262613340.0
47.0;27.0;1262613472.0
47.0;126.0;1262613472.0
47.0;57.0;1262613472.0
126.0;47.0;1262613506.0
45.0;137.0;1262613638.0
54.0;55.0;1262613874.0
126.0;137.0;1262614083.0
83.0;35.0;1262614351.0
126.0;89.0;1262614432.0
126.0;119.0;1262614453.0
126.0;119.0;1262614459.0
126.0;119.0;1262614468.0
69.0;81.0;1262614682.0
103.0;81.0;1262614764.0
135.0;97.0;1262614899.0
118.0;163.0;1262615091.0
135.0;30.0;1262615690.0
89.0;126.0;1262616251.0
89.0;126.0;1262616284.0
156.0;39.0;1262616300.0
155.0;36.0;1262617021.0
36.0;155.0;1262617176.0
128.0;8.0;1262618404.0
140.0;39.0;1262622794.0
140.0;60.0;1262622904.0
140.0;56.0;1262622907.0
130.0;86.0;1262633423.0
17.0;161.0;1262645364.0
17.0;146.0;1262645364.0
17.0;62.0;1262645364.0
17.0;90.0;1262645364.0
17.0;129.0;1262645364.0
17.0;105.0;1262645364.0
39.0;156.0;1262670843.0
126.0;89.0;1262673658.0
161.0;81.0;1262674082.0
145.0;72.0;1262674296.0
145.0;47.0;1262674334.0
145.0;60.0;1262674351.0
143.0;137.0;1262674903.0
35.0;105.0;1262677718.0
119.0;126.0;1262677837.0
117.0;97.0;1262677872.0
97.0;117.0;1262677961.0
160.0;14.0;1262677997.0
97.0;117.0;1262678072.0
90.0;69.0;1262678360.0
69.0;90.0;1262678395.0
117.0;97.0;1262678681.0
119.0;129.0;1262679122.0
86.0;130.0;1262679131.0
105.0;35.0;1262679700.0
47.0;97.0;1262679916.0
83.0;60.0;1262680077.0
83.0;60.0;1262680089.0
97.0;47.0;1262680724.0
126.0;119.0;1262680874.0
135.0;151.0;1262681442.0
152.0;56.0;1262681524.0
152.0;2.0;1262681524.0
56.0;152.0;1262681775.0
163.0;90.0;1262681945.0
47.0;152.0;1262682296.0
36.0;27.0;1262682323.0
47.0;97.0;1262682396.0
151.0;135.0;1262682648.0
8.0;155.0;1262682735.0
83.0;35.0;1262682958.0
35.0;83.0;1262682996.0
151.0;14.0;1262683102.0
97.0;57.0;1262683103.0
151.0;14.0;1262683111.0
151.0;14.0;1262683121.0
47.0;152.0;1262683308.0
117.0;47.0;1262683524.0
104.0;81.0;1262683539.0
104.0;137.0;1262683609.0
104.0;121.0;1262683845.0
90.0;97.0;1262683889.0
90.0;17.0;1262683889.0
17.0;90.0;1262683916.0
97.0;90.0;1262683922.0
85.0;27.0;1262683972.0
102.0;83.0;1262684044.0
104.0;166.0;1262684091.0
104.0;94.0;1262684091.0
83.0;102.0;1262684303.0
104.0;126.0;1262684365.0
85.0;27.0;1262684422.0
104.0;27.0;1262684538.0
92.0;119.0;1262685097.0
102.0;107.0;1262687417.0
47.0;117.0;1262687517.0
77.0;162.0;1262687731.0
77.0;135.0;1262687731.0
135.0;77.0;1262687747.0
35.0;65.0;1262687857.0
162.0;77.0;1262687863.0
65.0;35.0;1262687957.0
56.0;81.0;1262688889.0
103.0;36.0;1262689206.0
103.0;156.0;1262689206.0
62.0;3.0;1262689529.0
62.0;73.0;1262689529.0
62.0;152.0;1262689530.0
62.0;56.0;1262689530.0
62.0;50.0;1262689530.0
56.0;62.0;1262689589.0
50.0;62.0;1262689619.0
41.0;163.0;1262689645.0
83.0;35.0;1262689660.0
35.0;83.0;1262689702.0
163.0;41.0;1262689720.0
83.0;35.0;1262689726.0
163.0;14.0;1262689783.0
65.0;129.0;1262689784.0
35.0;83.0;1262689796.0
65.0;127.0;1262689861.0
62.0;73.0;1262689924.0
62.0;3.0;1262689924.0
62.0;56.0;1262689924.0
62.0;50.0;1262689924.0
62.0;152.0;1262689924.0
50.0;62.0;1262689947.0
56.0;62.0;1262689986.0
127.0;65.0;1262689987.0
97.0;121.0;1262690016.0
118.0;102.0;1262690186.0
118.0;83.0;1262690186.0
118.0;128.0;1262690186.0
62.0;39.0;1262690203.0
152.0;62.0;1262690639.0
121.0;27.0;1262690669.0
152.0;62.0;1262690684.0
35.0;83.0;1262691122.0
83.0;35.0;1262691199.0
27.0;121.0;1262691256.0
73.0;62.0;1262691717.0
130.0;135.0;1262691740.0
73.0;62.0;1262691752.0
119.0;92.0;1262691767.0
83.0;74.0;1262692521.0
84.0;165.0;1262692585.0
165.0;84.0;1262692675.0
39.0;62.0;1262693183.0
103.0;81.0;1262693204.0
74.0;83.0;1262693344.0
92.0;165.0;1262693349.0
165.0;92.0;1262693418.0
81.0;39.0;1262693556.0
81.0;39.0;1262693585.0
14.0;17.0;1262693630.0
8.0;47.0;1262693639.0
39.0;95.0;1262693711.0
39.0;49.0;1262693711.0
39.0;111.0;1262693711.0
39.0;28.0;1262693711.0
39.0;81.0;1262693711.0
39.0;157.0;1262693711.0
39.0;140.0;1262693711.0
123.0;136.0;1262693725.0
123.0;73.0;1262693725.0
123.0;19.0;1262693725.0
118.0;102.0;1262693782.0
118.0;128.0;1262693782.0
118.0;83.0;1262693782.0
17.0;14.0;1262693788.0
136.0;123.0;1262693884.0
81.0;39.0;1262693956.0
3.0;62.0;1262694077.0
3.0;62.0;1262694141.0
90.0;163.0;1262694928.0
17.0;14.0;1262694940.0
119.0;92.0;1262694943.0
13.0;39.0;1262695029.0
8.0;128.0;1262695098.0
130.0;90.0;1262695944.0
130.0;143.0;1262695944.0
92.0;119.0;1262696148.0
69.0;118.0;1262696156.0
118.0;69.0;1262696248.0
107.0;150.0;1262696252.0
163.0;90.0;1262696380.0
62.0;103.0;1262696517.0
62.0;73.0;1262696517.0
27.0;86.0;1262696549.0
73.0;62.0;1262696555.0
103.0;62.0;1262696705.0
133.0;73.0;1262696963.0
17.0;155.0;1262697466.0
8.0;13.0;1262697570.0
8.0;67.0;1262697570.0
8.0;128.0;1262697570.0
103.0;81.0;1262697571.0
54.0;17.0;1262697765.0
17.0;54.0;1262697811.0
155.0;17.0;1262697891.0
17.0;54.0;1262698102.0
112.0;73.0;1262698111.0
54.0;17.0;1262698147.0
47.0;22.0;1262698598.0
22.0;47.0;1262699065.0
39.0;97.0;1262699486.0
39.0;17.0;1262699486.0
19.0;123.0;1262699499.0
17.0;39.0;1262699522.0
152.0;136.0;1262699548.0
152.0;90.0;1262699548.0
152.0;69.0;1262699548.0
152.0;133.0;1262699548.0
136.0;152.0;1262699552.0
17.0;39.0;1262699632.0
107.0;102.0;1262699640.0
97.0;39.0;1262699665.0
35.0;127.0;1262699719.0
136.0;153.0;1262699878.0
136.0;123.0;1262700083.0
136.0;166.0;1262700083.0
36.0;155.0;1262700093.0
166.0;132.0;1262700194.0
33.0;45.0;1262700283.0
119.0;30.0;1262700395.0
30.0;119.0;1262700701.0
36.0;155.0;1262700859.0
127.0;35.0;1262700902.0
132.0;166.0;1262701046.0
61.0;28.0;1262701063.0
61.0;95.0;1262701063.0
61.0;39.0;1262701063.0
36.0;155.0;1262701742.0
14.0;17.0;1262701936.0
36.0;155.0;1262702527.0
36.0;155.0;1262703401.0
130.0;57.0;1262703801.0
36.0;155.0;1262704013.0
22.0;153.0;1262704339.0
103.0;50.0;1262709368.0
103.0;152.0;1262709368.0
103.0;54.0;1262709368.0
103.0;44.0;1262709368.0
17.0;105.0;1262734830.0
17.0;161.0;1262734830.0
17.0;146.0;1262734830.0
17.0;90.0;1262734830.0
17.0;129.0;1262734830.0
17.0;62.0;1262734830.0
17.0;62.0;1262734947.0
17.0;146.0;1262734947.0
17.0;105.0;1262734947.0
39.0;17.0;1262755920.0
39.0;61.0;1262755969.0
133.0;152.0;1262756056.0
133.0;73.0;1262757422.0
65.0;91.0;1262759432.0
152.0;27.0;1262759558.0
91.0;65.0;1262761016.0
164.0;60.0;1262762148.0
27.0;152.0;1262762588.0
27.0;152.0;1262762979.0
27.0;47.0;1262763314.0
136.0;137.0;1262763392.0
52.0;160.0;1262763428.0
52.0;11.0;1262763428.0
62.0;107.0;1262763449.0
97.0;57.0;1262763573.0
163.0;86.0;1262763893.0
145.0;97.0;1262764147.0
73.0;133.0;1262764256.0
166.0;90.0;1262764454.0
166.0;35.0;1262764454.0
166.0;133.0;1262764454.0
135.0;22.0;1262764615.0
107.0;62.0;1262765173.0
47.0;27.0;1262765380.0
90.0;166.0;1262766645.0
133.0;166.0;1262766905.0
92.0;29.0;1262766954.0
35.0;166.0;1262767191.0
152.0;27.0;1262767286.0
22.0;148.0;1262767879.0
35.0;166.0;1262767914.0
61.0;95.0;1262768142.0
61.0;28.0;1262768142.0
61.0;39.0;1262768142.0
47.0;126.0;1262768258.0
121.0;150.0;1262768282.0
150.0;121.0;1262768377.0
148.0;22.0;1262768756.0
123.0;136.0;1262769279.0
153.0;22.0;1262769495.0
37.0;132.0;1262769787.0
37.0;13.0;1262769787.0
37.0;128.0;1262769787.0
37.0;102.0;1262769787.0
37.0;67.0;1262769787.0
37.0;135.0;1262769787.0
37.0;103.0;1262769787.0
37.0;155.0;1262769787.0
37.0;83.0;1262769787.0
37.0;85.0;1262769787.0
37.0;8.0;1262769787.0
37.0;36.0;1262769787.0
135.0;37.0;1262769814.0
8.0;37.0;1262769825.0
67.0;37.0;1262769829.0
13.0;85.0;1262769945.0
13.0;67.0;1262769945.0
102.0;37.0;1262769981.0
13.0;37.0;1262770025.0
83.0;37.0;1262770089.0
47.0;27.0;1262770268.0
47.0;137.0;1262770268.0
132.0;37.0;1262770410.0
130.0;57.0;1262770765.0
128.0;37.0;1262770814.0
130.0;69.0;1262771294.0
27.0;47.0;1262771553.0
33.0;45.0;1262771583.0
103.0;37.0;1262771598.0
69.0;130.0;1262771606.0
39.0;61.0;1262771823.0
163.0;86.0;1262772199.0
160.0;80.0;1262772419.0
160.0;148.0;1262772419.0
160.0;79.0;1262772419.0
121.0;152.0;1262772815.0
121.0;137.0;1262772815.0
121.0;104.0;1262772815.0
121.0;36.0;1262772815.0
121.0;163.0;1262772815.0
121.0;85.0;1262772815.0
121.0;47.0;1262772815.0
121.0;126.0;1262772815.0
121.0;148.0;1262772815.0
121.0;113.0;1262772815.0
121.0;61.0;1262772815.0
61.0;121.0;1262772882.0
62.0;73.0;1262772999.0
47.0;57.0;1262773140.0
152.0;121.0;1262773180.0
47.0;121.0;1262773457.0
128.0;148.0;1262773567.0
36.0;37.0;1262773594.0
148.0;121.0;1262773630.0
36.0;121.0;1262773721.0
148.0;11.0;1262773786.0
97.0;119.0;1262773966.0
97.0;163.0;1262773966.0
97.0;47.0;1262773966.0
97.0;19.0;1262773966.0
97.0;77.0;1262773966.0
97.0;145.0;1262773966.0
97.0;133.0;1262773966.0
97.0;112.0;1262773966.0
97.0;45.0;1262773966.0
97.0;91.0;1262773966.0
97.0;95.0;1262773966.0
97.0;36.0;1262773966.0
97.0;32.0;1262773966.0
97.0;154.0;1262773966.0
97.0;14.0;1262773966.0
97.0;165.0;1262773966.0
97.0;86.0;1262773966.0
97.0;65.0;1262773966.0
97.0;64.0;1262773966.0
97.0;62.0;1262773966.0
97.0;3.0;1262773966.0
97.0;30.0;1262773966.0
97.0;57.0;1262773966.0
97.0;150.0;1262773966.0
97.0;130.0;1262773966.0
97.0;116.0;1262773966.0
97.0;90.0;1262773966.0
97.0;136.0;1262773966.0
97.0;135.0;1262773966.0
97.0;117.0;1262773966.0
97.0;156.0;1262773966.0
97.0;73.0;1262773966.0
97.0;101.0;1262773966.0
97.0;55.0;1262773966.0
97.0;152.0;1262773966.0
97.0;82.0;1262773966.0
97.0;118.0;1262773966.0
97.0;78.0;1262773966.0
97.0;126.0;1262773966.0
77.0;97.0;1262774005.0
36.0;97.0;1262774007.0
118.0;97.0;1262774021.0
136.0;97.0;1262774069.0
165.0;97.0;1262774151.0
101.0;97.0;1262774162.0
64.0;97.0;1262774171.0
32.0;97.0;1262774313.0
45.0;97.0;1262774318.0
32.0;19.0;1262774362.0
32.0;19.0;1262774391.0
28.0;61.0;1262774452.0
113.0;121.0;1262774610.0
152.0;97.0;1262774644.0
117.0;97.0;1262774690.0
156.0;97.0;1262775038.0
28.0;61.0;1262775120.0
28.0;39.0;1262775243.0
116.0;97.0;1262775257.0
28.0;58.0;1262775299.0
62.0;97.0;1262775302.0
126.0;97.0;1262775324.0
126.0;121.0;1262775344.0
3.0;90.0;1262775453.0
30.0;97.0;1262775467.0
133.0;97.0;1262775489.0
47.0;97.0;1262775532.0
28.0;39.0;1262775550.0
65.0;97.0;1262775622.0
73.0;97.0;1262775646.0
73.0;62.0;1262775724.0
90.0;3.0;1262775867.0
55.0;97.0;1262775879.0
80.0;118.0;1262776107.0
62.0;17.0;1262776221.0
62.0;97.0;1262776221.0
80.0;118.0;1262776226.0
39.0;123.0;1262776264.0
30.0;65.0;1262776704.0
30.0;90.0;1262776704.0
30.0;35.0;1262776704.0
30.0;161.0;1262776759.0
19.0;97.0;1262776823.0
30.0;161.0;1262776833.0
14.0;97.0;1262776876.0
30.0;65.0;1262776891.0
30.0;90.0;1262776891.0
30.0;35.0;1262776891.0
30.0;129.0;1262776891.0
82.0;97.0;1262776926.0
30.0;143.0;1262776930.0
30.0;135.0;1262777072.0
30.0;97.0;1262777072.0
135.0;30.0;1262777122.0
97.0;30.0;1262777136.0
35.0;30.0;1262777187.0
144.0;3.0;1262777202.0
130.0;135.0;1262777223.0
152.0;69.0;1262777304.0
152.0;86.0;1262777304.0
152.0;121.0;1262777304.0
152.0;119.0;1262777304.0
152.0;83.0;1262777304.0
152.0;36.0;1262777304.0
152.0;163.0;1262777304.0
152.0;27.0;1262777304.0
152.0;154.0;1262777304.0
152.0;47.0;1262777304.0
152.0;130.0;1262777304.0
152.0;90.0;1262777304.0
152.0;135.0;1262777304.0
152.0;136.0;1262777304.0
136.0;152.0;1262777412.0
8.0;152.0;1262777459.0
36.0;137.0;1262777480.0
52.0;30.0;1262777488.0
52.0;119.0;1262777488.0
52.0;33.0;1262777488.0
27.0;152.0;1262777499.0
65.0;30.0;1262777515.0
36.0;152.0;1262777526.0
47.0;152.0;1262777653.0
27.0;47.0;1262777654.0
136.0;123.0;1262777697.0
136.0;166.0;1262777697.0
136.0;119.0;1262777697.0
163.0;121.0;1262777703.0
47.0;27.0;1262777709.0
135.0;152.0;1262777792.0
130.0;126.0;1262777839.0
130.0;57.0;1262777839.0
83.0;152.0;1262777922.0
119.0;126.0;1262777962.0
119.0;97.0;1262777985.0
118.0;148.0;1262778076.0
90.0;97.0;1262778119.0
65.0;127.0;1262778229.0
65.0;109.0;1262778229.0
65.0;129.0;1262778229.0
65.0;154.0;1262778229.0
127.0;65.0;1262778274.0
136.0;153.0;1262778307.0
136.0;123.0;1262778307.0
86.0;97.0;1262778348.0
86.0;152.0;1262778358.0
119.0;126.0;1262778571.0
19.0;97.0;1262778857.0
143.0;30.0;1262778949.0
97.0;19.0;1262778951.0
152.0;162.0;1262778954.0
152.0;47.0;1262778954.0
152.0;148.0;1262778954.0
152.0;119.0;1262778954.0
152.0;36.0;1262778954.0
152.0;150.0;1262778954.0
152.0;90.0;1262778954.0
152.0;163.0;1262778954.0
152.0;69.0;1262778954.0
152.0;136.0;1262778954.0
152.0;83.0;1262778954.0
152.0;121.0;1262778954.0
152.0;130.0;1262778954.0
152.0;27.0;1262778954.0
152.0;86.0;1262778954.0
121.0;152.0;1262778979.0
136.0;152.0;1262778994.0
83.0;152.0;1262779081.0
69.0;152.0;1262779089.0
27.0;47.0;1262779091.0
69.0;152.0;1262779133.0
112.0;97.0;1262779300.0
162.0;152.0;1262779331.0
136.0;123.0;1262779385.0
136.0;166.0;1262779385.0
36.0;152.0;1262779521.0
73.0;97.0;1262779684.0
73.0;17.0;1262779684.0
47.0;152.0;1262779752.0
126.0;119.0;1262779767.0
126.0;119.0;1262779774.0
17.0;73.0;1262779776.0
73.0;123.0;1262779897.0
69.0;86.0;1262779972.0
47.0;22.0;1262780000.0
47.0;113.0;1262780000.0
47.0;151.0;1262780000.0
47.0;57.0;1262780082.0
47.0;72.0;1262780082.0
47.0;89.0;1262780082.0
47.0;126.0;1262780082.0
47.0;27.0;1262780292.0
97.0;73.0;1262780336.0
145.0;97.0;1262780371.0
57.0;47.0;1262780438.0
22.0;47.0;1262780606.0
86.0;152.0;1262781153.0
89.0;47.0;1262781230.0
102.0;107.0;1262781263.0
13.0;127.0;1262781299.0
13.0;74.0;1262781299.0
13.0;41.0;1262781299.0
13.0;90.0;1262781299.0
47.0;27.0;1262781345.0
132.0;166.0;1262781444.0
148.0;152.0;1262781531.0
73.0;17.0;1262781610.0
73.0;97.0;1262781610.0
130.0;137.0;1262781638.0
17.0;73.0;1262781677.0
166.0;132.0;1262781868.0
151.0;47.0;1262781918.0
155.0;37.0;1262782030.0
105.0;97.0;1262782031.0
150.0;152.0;1262782096.0
97.0;105.0;1262782162.0
132.0;166.0;1262782171.0
3.0;144.0;1262782197.0
150.0;97.0;1262782237.0
123.0;39.0;1262782265.0
97.0;105.0;1262782356.0
123.0;136.0;1262782376.0
123.0;136.0;1262782411.0
123.0;136.0;1262782449.0
107.0;102.0;1262782662.0
3.0;13.0;1262782889.0
105.0;97.0;1262783183.0
130.0;30.0;1262783327.0
94.0;45.0;1262783529.0
45.0;94.0;1262783625.0
13.0;3.0;1262783702.0
161.0;30.0;1262784118.0
161.0;30.0;1262784127.0
55.0;54.0;1262784562.0
35.0;13.0;1262784752.0
35.0;124.0;1262784752.0
35.0;143.0;1262784752.0
35.0;15.0;1262784752.0
35.0;74.0;1262784752.0
35.0;83.0;1262784752.0
35.0;117.0;1262784752.0
35.0;127.0;1262784752.0
127.0;35.0;1262784823.0
117.0;35.0;1262784869.0
112.0;137.0;1262784904.0
90.0;30.0;1262785053.0
90.0;30.0;1262785114.0
74.0;35.0;1262785153.0
143.0;35.0;1262785311.0
85.0;137.0;1262785464.0
13.0;35.0;1262785512.0
83.0;35.0;1262785627.0
36.0;97.0;1262785641.0
36.0;155.0;1262785706.0
118.0;148.0;1262786014.0
65.0;30.0;1262786266.0
163.0;148.0;1262786424.0
163.0;160.0;1262786424.0
163.0;11.0;1262786424.0
